SPECIESID,TubeNo,img,Trait,Value
Lept_acer,9990190,fro2,HeadLength,-2.710387936908949
Lept_acer,9990190,fro2,HeadWidth,-2.925226816752948
Lept_acer,9990190,fro2,InterocularDistance,-2.754985374844846
Lept_acer,9990190,fro2,ScapeLength,-3.2816780579867038
Lept_acer,9990190,fro3,HeadLength,-2.9144642298703625
Lept_acer,9990190,fro3,HeadWidth,-2.8939102292807224
Lept_acer,9990190,fro3,InterocularDistance,-3.259204563306186
Lept_acer,9990190,fro3,ScapeLength,-3.0397581414234813
Lept_acer,9990190,fro4,HeadLength,-2.9674541852507317
Lept_acer,9990190,fro4,HeadWidth,-2.8799126604086416
Lept_acer,9990190,fro4,InterocularDistance,-2.920547112004208
Lept_acer,9990190,fro4,ScapeLength,-3.3888750877474916
Lept_acer,9990190,lat1,HindTibia,-2.6557583733580548
Lept_acer,9990190,lat1,WebersLength,-2.8245189815882425
Lept_acer,9990190,lat2,MidTibia,-2.600402338121792
Lept_acer,9990190,lat2,WebersLength,-2.9812549053194144
Lept_acer,9990190,lat3,HindTibia,-3.040862799425474
Lept_acer,9990190,lat3,MidTibia,-2.8986917971864274
Lept_acer,9990190,lat3,WebersLength,-3.0383196480716093
Lept_acer,9990190,lat4,WebersLength,-3.0444399893594096
Myrm_curv,9991171,fro2,HeadLength,2.797261357888559
Myrm_lobu,9991083,fro4,HeadLength,-2.6050978431011136
Myrm_lobu,9992916,lat1,MidTibia,3.736142249877214
Myrm_lobu,9992927,dor3,MesosomaLength,2.7120587783161927
Myrm_rubr,14475,lat4,HindTibia,-2.7985815680801442
Myrm_rubr,15134,dor4,HindFemur,-2.8919648382929055
Myrm_rubr,15134,dor4,MidFemur,-2.729664546811738
Myrm_rubr,15134,fro4,HeadLength,-2.6352875130723374
Myrm_rubr,15134,lat4,HindTibia,-2.910642660654435
Myrm_rubr,15134,lat4,MidTibia,-2.776925230532513
Myrm_rubr,9990026,dor4,MesosomaWidth,2.68815989688035
Myrm_rubr,9990028,fro3,ScapeLength,-3.0194854230782915
Myrm_rubr,9990083,dor1,MesosomaWidth,2.7069993967906956
Myrm_rubr,9990402,lat2,MidTibia,2.94376343937089
Myrm_rugi,9990543,dor1,HindFemur,-2.918472191665584
Myrm_rugi,9990543,dor1,MidFemur,-2.727279658713354
Myrm_rugi,9990543,dor2,HindFemur,-2.739781668241224
Myrm_rugi,9990543,fro1,ScapeLength,-3.4950354029056516
Myrm_rugi,9990543,fro2,ScapeLength,-3.954189430544964
Myrm_rugi,9990543,lat2,WebersLength,-2.815601908222113
Myrm_rugi,9991443,dor2,MidFemur,-2.967276108169811
Myrm_rugi,9991945,dor2,MesosomaLength,-5.11116819829892
Myrm_rugi,9991945,dor2,MesosomaWidth,6.5621461214274275
Myrm_rugi,9991945,dor2,MidFemur,-3.5719596864415313
Myrm_sabu,9990109,lat3,HindTibia,-3.7531250626239285
Myrm_scab,11158,lat1,MidTibia,-3.0854837928857766
Myrm_scab,9990577,dor3,MidFemur,-2.619027308134989
Myrm_scab,9990933,lat2,MidTibia,3.6718358785130114
Myrm_scab,9991573,dor2,HindFemur,2.7460840250617724
Myrm_scab,9991573,dor2,MidFemur,2.850120574670591
Myrm_scab,9991573,dor4,HindFemur,3.236552230624209
Myrm_scab,9991573,dor4,MesosomaLength,3.568788285031051
Myrm_scab,9991573,dor4,MesosomaWidth,2.673733933995663
Myrm_scab,9991573,dor4,MidFemur,3.4129020618106107
Myrm_scab,9991573,fro1,ScapeLength,2.72418179111816
Myrm_scab,9991573,fro2,ScapeLength,2.6684460054800714
Myrm_scab,9991573,fro4,InterocularDistance,3.036782050586489
Myrm_scab,9991573,fro4,ScapeLength,3.627302540057764
Myrm_scab,9991573,lat2,HindTibia,2.6684323468522777
Myrm_scab,9991573,lat4,HindTibia,3.58207188927305
Myrm_scab,9991573,lat4,WebersLength,2.9107352632907277
Myrm_sche,5849,dor1,MesosomaWidth,-2.5773341290904814
Myrm_sche,5849,lat1,MidTibia,-2.5895755359777946
Myrm_sche,9990758,lat1,HindTibia,2.611630937281499
Myrm_sche,9991289,fro3,ScapeLength,-2.710855158380083
Myrm_spec,14550B,lat3,HindTibia,5.255688257564024
Myrm_spec,16551,dor1,HindFemur,2.873891205289343
Myrm_spec,16551,dor1,MesosomaLength,2.9115902451419355
Myrm_spec,16551,dor1,MesosomaWidth,2.7294089684292024
Myrm_spec,16551,dor1,MidFemur,3.0734741411147275
Myrm_spec,16551,dor2,HindFemur,2.8169021660739135
Myrm_spec,16551,dor2,MesosomaLength,2.89006004040417
Myrm_spec,16551,dor2,MesosomaWidth,3.4018898406458806
Myrm_spec,16551,dor2,MidFemur,3.181389548334106
Myrm_spec,16551,fro1,HeadWidth,3.467520378097601
Myrm_spec,16551,fro1,InterocularDistance,3.83046993680133
Myrm_spec,16551,fro1,ScapeLength,4.310367812264284
Myrm_spec,16551,fro2,HeadWidth,2.9125527085166127
Myrm_spec,16551,fro2,InterocularDistance,2.935982267667113
Myrm_spec,16551,fro2,ScapeLength,3.834380302128737
Myrm_spec,16551,lat1,MidTibia,2.908754473110413
Myrm_spec,16551,lat2,WebersLength,2.937244547766153
Myrm_spec,18887B,dor1,HindFemur,-2.654021648669173
Myrm_spec,18887B,fro1,HeadWidth,-2.6014039647522282
Myrm_spec,18887B,lat1,HindTibia,-2.7754661301367003
Myrm_spec,6153,fro4,HeadLength,3.9979441668379323
Temn_affi,12009,dor2,HindFemur,2.9093336835535912
Temn_affi,12009,dor2,MesosomaLength,2.913222559569131
Temn_affi,12009,fro2,HeadWidth,2.8768673057018668
Temn_affi,12009,lat2,WebersLength,3.2300742998400125
Temn_affi,15037F,fro1,HeadWidth,-2.6288327909500833
Temn_affi,341,dor2,MesosomaWidth,4.8883697210103
Temn_affi,341,lat3,HindTibia,-4.573344831214697
Temn_affi,5601,lat1,MidTibia,5.638467918381699
Temn_affi,5702,dor4,MidFemur,-3.9431695270661855
Temn_nigr,17417,dor1,HindFemur,5.253797382259121
Temn_nigr,17417,dor1,MesosomaLength,2.696194783307202
Temn_nigr,17417,dor1,MesosomaWidth,3.202846046742484
Temn_nigr,17417,dor1,MidFemur,3.4161996603324907
Temn_nigr,17417,dor2,MesosomaLength,3.0874645494899546
Temn_nigr,17417,dor2,MesosomaWidth,2.770750297083112
Temn_nigr,17417,dor3,MesosomaLength,3.0797520579075934
Temn_nigr,17417,dor4,MesosomaLength,3.243946077005519
Temn_nigr,17417,dor4,MesosomaWidth,2.727461667842834
Temn_nigr,17417,dor4,MidFemur,2.650933598607034
Temn_nigr,17417,fro1,HeadLength,3.7413613240881896
Temn_nigr,17417,fro1,HeadWidth,3.351422221326218
Temn_nigr,17417,fro1,InterocularDistance,3.6355629469518145
Temn_nigr,17417,fro1,ScapeLength,3.516611763079593
Temn_nigr,17417,fro2,HeadLength,3.038556247311477
Temn_nigr,17417,fro2,HeadWidth,3.2308468429519603
Temn_nigr,17417,fro2,InterocularDistance,3.2069992149711535
Temn_nigr,17417,fro4,HeadLength,3.2616252905852896
Temn_nigr,17417,fro4,HeadWidth,3.0020445638087567
Temn_nigr,17417,fro4,InterocularDistance,2.9569098940591965
Temn_nigr,17417,fro4,ScapeLength,2.95201102407015
Temn_nigr,17417,lat1,HindTibia,3.0908698695124084
Temn_nigr,17417,lat1,WebersLength,3.8523030522542774
Temn_nigr,17417,lat2,HindTibia,3.1101560319579034
Temn_nigr,17417,lat2,MidTibia,2.938833393413157
Temn_nigr,17417,lat2,WebersLength,3.001525653078593
Temn_nigr,17417,lat3,WebersLength,2.804618190470235
Temn_nigr,17417,lat4,WebersLength,2.930535574506333
Temn_nyla-GR,5699,dor3,MesosomaLength,-2.60274185114557
Temn_nyla-GR,9990064,fro3,HeadLength,3.0408185486869916
Temn_nyla-GR,9990064,fro3,HeadWidth,3.1710666395313742
Temn_nyla-GR,9990064,fro3,InterocularDistance,2.817625854811328
Temn_nyla-GR,9990064,lat3,WebersLength,3.3274833517599216
Temn_nyla-GR,9990254,dor2,HindFemur,-2.806734692592585
Temn_nyla-GR,9990254,dor2,MidFemur,-2.5979561918043323
Temn_nyla-GR,9990254,fro2,ScapeLength,-2.845634654569834
Temn_nyla-GR,9990578,lat2,MidTibia,3.13170248021386
Temn_nyla-GR,9990761,lat2,HindTibia,-4.271786636436704
Temn_nyla-GR,9993093,lat4,HindTibia,3.2246389582275112
Temn_parv,5753B,lat2,HindTibia,-2.875696648979229
Temn_tube-GR,16949C,fro1,HeadWidth,2.6190718973468248
Temn_unif-GR,12587,lat3,HindTibia,2.9463853919416345
Tetr_alpe,17017,lat4,MidTibia,2.9395159835919893
Tetr_alpe,17455,lat3,MidTibia,3.0225353360114804
Tetr_alpe,9990162,fro2,HeadLength,-2.6253962203449315
Tetr_alpe,9990367,lat1,MidTibia,2.911963527112353
Tetr_alpe,9990742,dor3,HindFemur,-2.7512814069737908
Tetr_alpe,9990742,dor4,HindFemur,-2.5838809109357532
Tetr_alpe,9990742,lat4,WebersLength,-2.623942987028247
Tetr_alpe,9991368,lat4,HindTibia,3.3585758026698254
Tetr_caes-GR,14298,lat4,HindTibia,3.4568406523298227
Tetr_caes-GR,15200,fro4,HeadWidth,-3.095402439106756
Tetr_caes-GR,15200,fro4,InterocularDistance,-2.9880216033281686
Tetr_caes-GR,2342,lat4,MidTibia,3.9620382984618328
Tetr_caes-GR,8161,lat2,HindTibia,-3.9639173593236485
Tetr_caes-GR,8161,lat4,MidTibia,4.762460593820506
Tetr_caes-GR,9991680,fro2,HeadWidth,-2.5785260382823405
Tetr_caes-GR,9991958,dor1,HindFemur,-2.692293754098476
Tetr_caes-GR,9991958,lat2,HindTibia,-3.7495280319103115
Tetr_immi,14365,lat3,MidTibia,4.238512253147788
Tetr_immi,2535,dor2,MesosomaWidth,-2.6673562491212346
Tetr_immi,2535,fro2,ScapeLength,-3.1200164615087975
Tetr_immi,5451,lat4,HindTibia,4.20090060971677
Tetr_impu,12293,lat3,MidTibia,2.9814004861529653
Tetr_impu,15364,fro3,HeadLength,-2.7509569707571684
Tetr_impu,15364,lat3,WebersLength,-2.815579612115192
Tetr_impu,9990187,dor3,MesosomaWidth,2.7925420416196665
