Visibility,Traits ID,Genus,Species,Invasive To Political Region1,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes,Political Region1,Continent,username,Date Of Upload,Batch,Batch Name
Public,Andersen&Hoffmann_2011_traits_24,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,,1.596,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_25,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,,1.848,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_26,Polyrhachis,cyrus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.2075,1.176,0.3255,0.4305,1.218,1.2285,1.596,1.092,0.8715,0.252,,1.5,30,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_27,Polyrhachis,cyrus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.05,1.0605,0.252,0.4305,1.008,1.05,1.386,0.924,0.714,0.21,,1.5,33,4,1,1,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_28,Polyrhachis,cyrus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.239,1.302,0.315,0.525,1.26,1.302,1.638,1.092,0.882,0.252,,1.5,31,4,1,1,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_29,Polyrhachis,cyrus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.26,1.302,0.336,0.504,1.2285,1.26,1.722,1.134,0.903,0.252,,1.5,24,4,1,1,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_30,Monomorium,donisthorpei,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.530769231,0.553846154,0.126923077,0.276923077,0.496153847,0.415384616,0.738461539,0.346153847,0.45,0.069230769,,1,3,0,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_31,Monomorium,donisthorpei,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.530769231,0.600000001,0.115384616,0.230769231,0.484615385,0.392307693,0.784615385,0.346153847,0.473076924,0.080769231,,1,1,0,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_32,Monomorium,donisthorpei,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.536538462,0.576923078,0.138461539,0.276923077,0.484615385,0.426923077,0.761538462,0.36923077,0.461538462,0.069230769,,1,3,0,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_33,Monomorium,donisthorpei,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.530769231,0.600000001,0.161538462,0.253846154,0.461538462,0.45,0.715384616,0.346153847,0.461538462,0.080769231,,1,3,0,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_34,Rhytidoponera,dubia,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.134,1.26,0.273,0.735,1.512,1.092,2.016,0.84,0.714,0.294,,2.5,0,0,10,10,10,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_35,Rhytidoponera,dubia,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.071,1.218,0.294,0.714,1.386,1.008,1.932,0.8085,0.714,0.252,,2.5,0,0,10,10,10,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_36,Rhytidoponera,dubia,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.008,1.176,0.315,0.672,1.302,0.924,1.806,0.756,0.6825,0.252,,2.5,0,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_37,Rhytidoponera,dubia,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.008,1.218,0.336,0.714,1.407,0.987,1.848,0.798,0.693,0.294,,2.5,0,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_38,Leptogenys,exigua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.218,1.512,0.42,0.861,1.512,1.302,2.436,0.882,0.756,0.294,,1,60,0,24,23,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_39,Leptogenys,exigua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.218,1.512,0.3885,0.84,1.554,1.344,2.52,0.861,0.756,0.294,,1,67,0,24,23,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_40,Leptogenys,exigua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.218,1.512,0.336,0.84,1.512,1.26,2.478,0.84,0.756,0.273,,1,66,0,24,23,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_41,Leptogenys,exigua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.197,1.47,0.336,0.798,1.491,1.323,2.394,0.882,0.756,0.294,,1,64,0,24,24,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_42,Monomorium,fieldi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.461538462,0.507692308,0.092307692,0.184615385,0.415384616,0.415384616,0.646153847,0.276923077,0.392307693,0.069230769,,1,5,0,21,21,21,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_43,Monomorium,fieldi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.45,0.51923077,0.069230769,0.184615385,0.426923077,0.403846154,0.600000001,0.276923077,0.392307693,0.069230769,,1,8,0,21,21,21,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_44,Monomorium,fieldi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.461538462,0.66923077,0.092307692,0.184615385,0.473076924,0.415384616,0.588461539,0.3,0.392307693,0.069230769,,1,3,0,21,21,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_45,Monomorium,fieldi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.461538462,0.530769231,0.092307692,0.253846154,0.415384616,0.426923077,0.600000001,0.3,0.380769231,0.063461539,,1,7,0,21,21,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_46,Opisthopsis,haddoni,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.0395,1.176,0.294,0.462,1.218,1.05,1.596,0.756,0.441,0.42,,1,0,0,17,17,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_47,Opisthopsis,haddoni,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.26,1.428,0.378,0.546,1.4805,1.218,1.974,0.882,0.567,0.504,,1,0,0,17,17,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_48,Opisthopsis,haddoni,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.197,1.344,0.336,0.504,1.344,1.092,1.638,0.756,0.567,0.504,,1,0,0,20,20,20,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_49,Opisthopsis,haddoni,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.239,1.302,0.378,0.546,1.386,1.134,1.932,0.861,0.588,0.462,,1,0,0,20,20,20,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_50,Polyrhachis,inconspicua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.218,1.302,0.294,0.5565,1.302,1.1865,1.806,1.008,0.84,0.2625,,1.5,0,4,1,1,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_51,Polyrhachis,inconspicua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.26,1.365,0.3045,0.588,1.47,1.323,1.974,1.113,0.882,0.2625,,1.5,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_52,Polyrhachis,inconspicua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.239,1.386,0.336,0.5775,1.386,1.302,1.89,1.029,0.861,0.273,,1.5,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_53,Polyrhachis,inconspicua,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.281,1.365,0.336,0.567,1.47,1.281,1.953,1.1025,0.882,0.294,,1.5,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_54,Froggattella,kirbyi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.876923078,0.900000001,0.230769231,0.357692308,0.623076924,0.646153847,1.315384617,0.542307693,0.51923077,0.138461539,,2,24,2,19,19,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_55,Froggattella,kirbyi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.876923078,0.900000001,0.230769231,0.357692308,0.715384616,0.646153847,1.292307694,0.553846154,0.507692308,0.138461539,,2,25,2,19,19,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_56,Froggattella,kirbyi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.830769232,0.853846155,0.230769231,0.380769231,0.66923077,0.646153847,1.269230771,0.542307693,0.51923077,0.15,,2,26,2,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_57,Froggattella,kirbyi,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.888461539,0.900000001,0.253846154,0.438461539,0.761538462,0.623076924,1.292307694,0.530769231,0.542307693,0.161538462,,2,20,2,20,20,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_58,Tetramorium,lanuginosum,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.715384616,0.675000001,0.023076923,0.346153847,0.542307693,0.461538462,0.830769232,0.467307693,0.576923078,0.103846154,,3,40,4,21,21,21,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_59,Tetramorium,lanuginosum,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.715384616,0.738461539,0.034615385,0.403846154,0.588461539,0.507692308,0.853846155,0.507692308,0.576923078,0.103846154,,3,40,4,21,21,8,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_60,Tetramorium,lanuginosum,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.750000001,0.738461539,0.023076923,0.380769231,0.576923078,0.51923077,0.807692309,0.51923077,0.611538462,0.115384616,,3,42,4,21,21,21,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_61,Paratrechina,longicornis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.548076924,0.853846155,0.138461539,0.311538462,1.200000001,1.269230771,1.03846154,0.438461539,0.253846154,0.184615385,,1.5,3,0,18,18,18,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_62,Paratrechina,longicornis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.542307693,0.692307693,0.138461539,0.3,1.246153847,1.223076924,1.061538463,0.415384616,0.3,0.184615385,,1.5,6,0,23,23,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_63,Paratrechina,longicornis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.576923078,0.611538462,0.126923077,0.276923077,1.153846155,1.246153847,1.142307693,0.415384616,0.334615385,0.184615385,,1.5,4,0,23,23,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_64,Paratrechina,longicornis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.59423077,0.715384616,0.173076923,0.3,1.315384617,1.246153847,1.130769232,0.438461539,0.346153847,0.184615385,,1.5,5,0,23,23,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_65,Brachyponera,lutea,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.084615386,1.200000001,0.207692308,0.784615385,1.061538463,0.807692309,1.673076925,0.888461539,0.888461539,0.092307692,,1.5,7,0,19,19,19,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_66,Brachyponera,lutea,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.03846154,1.084615386,0.161538462,0.692307693,0.992307693,0.784615385,1.615384617,0.784615385,0.923076924,0.092307692,,1.5,20,0,19,19,19,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_67,Brachyponera,lutea,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.026923078,1.084615386,0.207692308,0.692307693,0.992307693,0.853846155,1.523076925,0.738461539,0.900000001,0.103846154,,1.5,22,0,19,19,19,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_68,Brachyponera,lutea,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.03846154,1.084615386,0.276923077,0.680769231,0.946153847,0.853846155,1.684615386,0.784615385,0.923076924,0.103846154,,1.5,17,0,19,19,19,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_69,Monomorium,nigrius,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.346153847,0.392307693,0.080769231,0.138461539,0.219230769,0.3,0.426923077,0.207692308,0.3,0.046153846,,1,3,0,18,18,18,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_70,Monomorium,nigrius,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.323076923,0.392307693,0.069230769,0.15,0.242307693,0.253846154,0.415384616,0.207692308,0.276923077,0.046153846,,1,3,0,19,19,23,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_71,Monomorium,nigrius,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.346153847,0.415384616,0.069230769,0.15,0.230769231,0.253846154,0.415384616,0.207692308,0.3,0.046153846,,1,1,0,19,19,8,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_72,Monomorium,nigrius,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.340384616,0.380769231,0.069230769,0.138461539,0.201923077,0.265384616,0.426923077,0.207692308,0.3,0.046153846,,1,3,0,19,19,19,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_73,Iridomyrmex,pallidus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.003846155,1.015384616,0.3,0.461538462,1.33846154,1.061538463,1.730769233,0.611538462,0.473076924,0.230769231,,1.5,10,0,19,19,19,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_74,Iridomyrmex,pallidus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,0.992307693,1.03846154,0.207692308,0.415384616,1.292307694,1.026923078,1.430769232,0.600000001,0.438461539,0.225,,1.5,12,0,19,19,19,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_75,Iridomyrmex,pallidus,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.130769232,1.153846155,0.230769231,0.507692308,1.361538463,1.130769232,1.592307694,0.715384616,0.507692308,0.230769231,,1.5,14,0,19,19,19,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
